ì˙ït,ëÃèd,BMI,éâñb
2021.02.01,70.8,23.66,21.399
2021.02.02,70.4,23.52,21.2
2021.02.03,70.6,23.59,21.299
2021.02.04,70.4,23.52,21.2
2021.02.05,70.5,23.56,21.299
2021.02.06,70.7,23.62,21.299
2021.02.07,69.9,23.36,20.899
2021.02.08,70.1,23.42,21
2021.02.09,70.3,23.49,21.1
2021.02.10,70.3,23.49,21.2
2021.02.11,70.8,23.66,21.399
2021.02.12,70.8,23.66,21.399
2021.02.13,70.2,23.46,21.1
2021.02.14,70.9,23.69,21.5
2021.02.15,70.6,23.59,21.299
2021.02.16,70.4,23.52,21.2
2021.02.17,70.7,23.62,21.399
2021.02.18,71.1,23.76,21.6
2021.02.19,70.5,23.56,21.2
2021.02.20,70.3,23.49,21.2
2021.02.21,70.6,23.59,21.299
2021.02.22,70.4,23.52,21.2
2021.02.23,71,23.72,21.5
2021.02.24,70.5,23.56,21.299
2021.02.25,70.4,23.52,21.2
2021.02.26,69.9,23.36,20.899
2021.02.27,70.2,23.46,21.1
2021.02.28,70,23.39,21
